"Team","Manager","Year","Score"
"St. Louis Cardinals","Mike Matheny",2016,-0.624200676270728
"Seattle Mariners","Scott Servais",2016,-0.578147898206442
"Tampa Bay Rays","Kevin Cash",2015,-0.536433499108121
"New York Yankees","Joe Girardi",2015,-0.534542042041459
"Arizona Diamondbacks","Chip Hale",2015,-0.533399895036544
"Kansas City Royals","Ned Yost",2015,-0.526134197437857
"Kansas City Royals","Ned Yost",2016,-0.511284334170859
"Philadelphia Phillies","Pete Mackanin",2016,-0.501475714216237
"Pittsburgh Pirates","Clint Hurdle",2015,-0.496520584147894
"Boston Red Sox","John Farrell",2015,-0.495741843994698
"St. Louis Cardinals","Mike Matheny",2017,-0.482127012817606
"Detroit Tigers","Brad Ausmus",2016,-0.475962163726836
"New York Mets","Terry Collins",2016,-0.47589680894114
"New York Yankees","Joe Girardi",2016,-0.465457491990792
"Chicago White Sox","Rich Renteria",2017,-0.440623208520038
"Milwaukee Brewers","Craig Counsell",2015,-0.438015197720984
"Baltimore Orioles","Buck Showalter",2016,-0.42906634359477
"San Diego Padres","Andy Green",2017,-0.428880680234046
"Milwaukee Brewers","Craig Counsell",2017,-0.427696072395759
"Atlanta Braves","Brian Snitker",2018,-0.427540397175278
"Houston Astros","A. J. Hinch",2016,-0.427454336050875
"Los Angeles Dodgers","Dave Roberts",2017,-0.425608259922977
"New York Mets","Terry Collins",2017,-0.420881412093061
"Cincinnati Reds","Bryan Price",2016,-0.406672105747979
"Seattle Mariners","Scott Servais",2018,-0.403072965787047
"Oakland Athletics","Bob Melvin",2017,-0.399634469578833
"Cincinnati Reds","Jim Riggleman",2018,-0.391670567371045
"Colorado Rockies","Buddy Black",2019,-0.388434856119108
"St. Louis Cardinals","Mike Shildt",2018,-0.38589336172393
"Miami Marlins","Don Mattingly",2018,-0.385347186041856
"Arizona Diamondbacks","Chip Hale",2016,-0.383651688262262
"New York Yankees","Aaron Boone",2018,-0.382423941723503
"Minnesota Twins","Paul Molitor",2017,-0.382331215545813
"Seattle Mariners","Lloyd McClendon",2015,-0.37958653179907
"Tampa Bay Rays","Kevin Cash",2018,-0.377336140209045
"Baltimore Orioles","Buck Showalter",2017,-0.377145890978538
"San Diego Padres","Andy Green",2016,-0.370175771867138
"Texas Rangers","Jeff Banister",2017,-0.369819096419084
"Oakland Athletics","Bob Melvin",2018,-0.369604845347284
"Detroit Tigers","Brad Ausmus",2015,-0.363833991358861
"Houston Astros","A. J. Hinch",2017,-0.354928920028691
"Boston Red Sox","John Farrell",2016,-0.350951548305901
"Los Angeles Dodgers","Dave Roberts",2016,-0.343368478970269
"Philadelphia Phillies","Gabe Kapler",2019,-0.342965075712665
"Cleveland Indians","Terry Francona",2017,-0.334784580889985
"New York Mets","Mickey Callaway",2019,-0.329810727655925
"Chicago Cubs","Joe Maddon",2018,-0.326161284418014
"Los Angeles Dodgers","Dave Roberts",2018,-0.320622556845757
"Miami Marlins","Don Mattingly",2017,-0.31830323545165
